date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:00	118852/118852	---M-Z	200	added ('OK')	text/html	etag:W/%22a5b0cdfa017266a8d3aab2c200ada967--gzip%22	https://www.bucketheaddatabase.com/	C:/My%20Web%20Sites/BDB/www.bucketheaddatabase.com/index.html	(from )
22:13:00	511/511	---M-Z	200	added ('OK')	text/plain	date:Wed,%2018%20Feb%202026%2021:53:57%20GMT	https://www.bucketheaddatabase.com/robots.txt		(from )
22:13:01	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/BDB/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.bucketheaddatabase.com/)
22:13:04	45017/45017	---M-Z	200	added ('OK')	text/javascript	etag:%2226265e9c0232f83490ed6d728a854fa7%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-7a8e088155a09804-min.en-US.js	C:/My%20Web%20Sites/BDB/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-7a8e088155a09804-min.en-US.js	(from https://www.bucketheaddatabase.com/)
22:13:05	91514/91514	---M-Z	200	added ('OK')	text/javascript	etag:%220954d3e190bd3f089872c4b0798c8b40%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22ed584d99d9b83d-min.en-US.js	C:/My%20Web%20Sites/BDB/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22ed584d99d9b83d-min.en-US.js	(from https://www.bucketheaddatabase.com/)
22:13:07	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/BDB/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.bucketheaddatabase.com/)
22:13:11	857780/857780	---M-Z	200	added ('OK')	text/javascript	etag:%2295e588ae39cdec31508f47e3cc14a6d4%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	C:/My%20Web%20Sites/BDB/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	(from https://www.bucketheaddatabase.com/)
22:13:17	245912/245912	---M-Z	200	added ('OK')	text/javascript	etag:%2271fa227a435b24aec95da4f5e620f00f%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	C:/My%20Web%20Sites/BDB/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	(from https://www.bucketheaddatabase.com/)
22:13:17	2301/2301	---M-Z	200	added ('OK')	text/css	etag:%22c05113bcbda3b3e40cbe47cebf4599d1%22	http://assets.squarespace.com/universal/styles-compressed/user-account-core-deec763d109d5251-min.en-US.css	C:/My%20Web%20Sites/BDB/assets.squarespace.com/universal/styles-compressed/user-account-core-deec763d109d5251-min.en-US.css	(from https://www.bucketheaddatabase.com/)
22:13:18	116146/116146	---M-Z	200	added ('OK')	text/javascript	etag:%228d5fe59c5df9b74f7602625821b92bcf%22	http://assets.squarespace.com/universal/scripts-compressed/user-account-core-54beb9f77f8a6b8c-min.en-US.js	C:/My%20Web%20Sites/BDB/assets.squarespace.com/universal/scripts-compressed/user-account-core-54beb9f77f8a6b8c-min.en-US.js	(from https://www.bucketheaddatabase.com/)
22:13:19	29216/29216	---M-Z	200	added ('OK')	text/javascript	etag:%225ea60d15d2e0643cd58d4dd7f109a6ad%22	http://assets.squarespace.com/universal/scripts-compressed/performance-486d93565a174fa8-min.en-US.js	C:/My%20Web%20Sites/BDB/assets.squarespace.com/universal/scripts-compressed/performance-486d93565a174fa8-min.en-US.js	(from https://www.bucketheaddatabase.com/)
22:13:29	713829/713829	---M-Z	200	added ('OK')	text/javascript	etag:%22942d0b977a3f9a1d090cb7d606c5bf0c%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-3962200ba715274e-min.en-US.js	C:/My%20Web%20Sites/BDB/assets.squarespace.com/universal/scripts-compressed/common-vendors-3962200ba715274e-min.en-US.js	(from https://www.bucketheaddatabase.com/)
22:13:31	2044/2044	---M-Z	200	added ('OK')	text/css	etag:W/%227673160fafb8fc7ae34ff047aa49991e%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/e929e3df-4889-4f61-a9d3-4d2938a1c285_193/website.components.imageFluid.styles.css	C:/My%20Web%20Sites/BDB/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/e929e3df-4889-4f61-a9d3-4d2938a1c285_193/website.components.imageFluid.styles.css	(from https://www.bucketheaddatabase.com/)
22:13:32	13133/13133	---M-Z	200	added ('OK')	application/javascript	etag:W/%220d35a6ab118c2921512fbb0a2fde627e%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/e929e3df-4889-4f61-a9d3-4d2938a1c285_193/8018.js	C:/My%20Web%20Sites/BDB/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/e929e3df-4889-4f61-a9d3-4d2938a1c285_193/8018.js	(from https://www.bucketheaddatabase.com/)
22:13:32	8949/8949	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d15f49750419bdf083639334a1ffe01a%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/e929e3df-4889-4f61-a9d3-4d2938a1c285_193/image-effect-liquid.js	C:/My%20Web%20Sites/BDB/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/e929e3df-4889-4f61-a9d3-4d2938a1c285_193/image-effect-liquid.js	(from https://www.bucketheaddatabase.com/)
